song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo
A Girl Like You,Edwyn Collins,235933,0.618,0.801,0.0159,0.000174,0.381,-6.634,0.0369,0.512,126.26
Superfly,Curtis Mayfield,233600,0.784,0.708,0.457,7.5e-05,0.0913,-9.141,0.11,0.748,120.11
Sweet Little Sixteen,Chuck Berry,180746,0.507,0.635,0.545,0.0,0.207,-7.84,0.0337,0.962,175.338
Wicked Game,Chris Isaak,287506,0.665,0.292,0.686,0.0128,0.0679,-18.086,0.0294,0.345,112.331
Gangsters - 2015 Remaster,The Specials,170546,0.701,0.664,0.0092,0.116,0.452,-8.248,0.0362,0.814,130.419
Dry Your Eyes,The Streets,269093,0.66,0.479,0.53,0.0,0.102,-7.364,0.247,0.471,80.027
Electric Feel,MGMT,229640,0.763,0.803,0.0709,0.285,0.348,-3.713,0.0351,0.561,103.04
Runnin' With The Devil,Van Halen,216733,0.432,0.88,0.0206,0.000191,0.185,-5.769,0.0656,0.527,95.59
Holiday,Madonna,231560,0.813,0.699,0.0251,0.0135,0.0527,-8.656,0.0458,0.732,117.548
Grindin',Clipse,264760,0.592,0.77,0.122,1.22e-06,0.103,-3.402,0.318,0.361,191.692
Sister Ray,The Velvet Underground,1047133,0.265,0.869,0.433,0.544,0.14,-8.953,0.0483,0.563,131.134
I Will Dare,The Replacements,197426,0.456,0.857,0.00157,0.0344,0.333,-5.854,0.0833,0.559,167.709
Swanee,Al Jolson,156346,0.551,0.155,0.995,0.000412,0.0996,-14.327,0.177,0.644,116.779
Don't You (Forget About Me),Simple Minds,260866,0.663,0.629,0.0836,0.0394,0.105,-12.697,0.026,0.648,111.29
Blackbird - Remastered,The Beatles,138386,0.686,0.127,0.754,1.41e-05,0.0573,-14.361,0.0342,0.372,93.699
It Wasn't God Who Made Honky Tonk Angels,Kitty Wells,152333,0.598,0.188,0.771,0.0,0.366,-11.716,0.032,0.665,136.696
I Luv U,Dizzee Rascal,245066,0.737,0.912,0.304,1.01e-06,0.0467,-3.708,0.288,0.905,136.047
Soul Makossa,Manu Dibango,264306,0.831,0.826,0.141,0.00234,0.128,-3.8,0.149,0.775,115.014
Regret,New Order,249840,0.504,0.966,0.000819,0.0747,0.226,-3.116,0.0329,0.742,129.595
"Black (First Movement Of Black, Brown And Beige) - Live",Duke Ellington,1312960,0.402,0.0865,0.924,0.364,0.786,-21.101,0.0483,0.177,106.85
Can the Circle Be Unbroken,The Carter Family,187000,0.557,0.32,0.975,0.0,0.11,-8.874,0.0372,0.648,98.959
Little Fluffy Clouds,The Orb,249800,0.682,0.736,0.00592,0.26,0.176,-12.46,0.0385,0.586,104.997
Kansas City,Wilbert Harrison,145200,0.718,0.786,0.738,5.59e-06,0.292,-5.629,0.0326,0.956,116.452
POWER,Kanye West,292093,0.539,0.907,0.0193,0.0,0.825,-4.757,0.13,0.553,154.0
Sunny Afternoon,The Kinks,213240,0.564,0.535,0.19,0.0,0.0674,-7.13,0.0267,0.463,124.224
Crosstown Traffic,Jimi Hendrix,139266,0.482,0.96,0.254,2.43e-06,0.294,-5.269,0.126,0.544,113.263
Pony Blues,Charley Patton,180625,0.422,0.265,0.964,0.906,0.105,-14.697,0.036,0.457,117.405
It's a Sin - 2001 Remaster,Pet Shop Boys,300293,0.538,0.864,0.243,0.00054,0.239,-5.928,0.0451,0.293,127.127
One for My Baby - and One More for the Road,Frank Sinatra,264440,0.359,0.027,0.973,0.000283,0.108,-18.776,0.0419,0.211,77.964
The Rip,Portishead,270960,0.418,0.486,0.929,0.461,0.0988,-9.421,0.0318,0.249,74.924
Black Beatles,Rae Sremmurd,291893,0.794,0.632,0.142,0.0,0.128,-6.163,0.0649,0.355,145.926
Manteca,Dizzy Gillespie,192426,0.459,0.706,0.863,0.891,0.105,-7.031,0.313,0.601,172.996
Duke Of Earl,Gene Chandler,145798,0.578,0.363,0.793,0.0,0.203,-11.741,0.0338,0.644,103.351
"I Can’t Help Myself (Sugar Pie, Honey Bunch)",Four Tops,165920,0.692,0.651,0.203,0.0,0.114,-7.466,0.0296,0.966,126.815
In My Room - Remastered,The Beach Boys,133960,0.5,0.449,0.2,7.36e-05,0.101,-8.434,0.0248,0.464,102.713
Rebel Girl,Bikini Kill,157333,0.435,0.939,0.0122,0.00466,0.0614,-3.845,0.111,0.559,134.938
Mama Tried - Remastered 2001,Merle Haggard & The Strangers,132626,0.725,0.654,0.778,2.7e-06,0.0769,-6.283,0.0609,0.659,97.255
Pristine,Snail Mail,295333,0.483,0.695,0.00461,0.000661,0.102,-5.493,0.0313,0.294,126.212
Ain't Too Proud To Beg,The Temptations,156173,0.763,0.656,0.549,0.0,0.125,-6.86,0.0417,0.926,118.394
Rhapsody In Blue,Paul Whiteman Orchestra,539977,0.347,0.26,0.984,0.866,0.545,-15.117,0.0433,0.198,83.484
Sixteen Tons,Tennessee Ernie Ford,155466,0.699,0.336,0.782,5.95e-06,0.202,-14.617,0.175,0.44,144.704
On Broadway - 2018 Remaster,The Drifters,179493,0.747,0.628,0.336,0.0,0.122,-6.597,0.0289,0.919,108.767
Wipe Out,The Surfaris,166092,0.461,0.955,0.111,0.532,0.952,-6.684,0.0489,0.725,160.073
Connection,Elastica,140480,0.684,0.694,0.000351,0.7,0.0496,-5.776,0.0375,0.882,121.342
"Disco Inferno - LP / 12"" Version",The Trammps,659000,0.799,0.632,0.0293,0.359,0.103,-12.364,0.0332,0.967,128.567
Crazy Blues,Mamie Smith,202240,0.436,0.178,0.996,0.912,0.259,-13.36,0.0448,0.464,111.858
Fuck You,CeeLo Green,223694,0.693,0.879,0.193,0.0,0.124,-3.988,0.0578,0.753,127.457
Hey Boy Hey Girl,The Chemical Brothers,290493,0.632,0.92,0.119,0.508,0.114,-4.976,0.0531,0.363,127.001
I Want to Know What Love Is - 1999 Remaster,Foreigner,304786,0.477,0.471,0.193,1.76e-06,0.131,-10.036,0.0277,0.423,81.204
I Want You,Bob Dylan,185200,0.509,0.68,0.36,0.0,0.0824,-8.354,0.0372,0.802,99.924
The Suburbs,Arcade Fire,315200,0.612,0.668,0.0579,0.0445,0.341,-6.143,0.0302,0.524,117.62
Dum Surfer,King Krule,263440,0.651,0.944,0.0855,0.145,0.116,-5.48,0.0381,0.676,119.983
Black and Tan Fantasy,Duke Ellington & His Washingtonians,203373,0.492,0.194,0.984,0.104,0.182,-14.073,0.0577,0.368,91.353
Our House (Remastered),Madness,203173,0.589,0.713,0.0937,0.00103,0.0568,-6.064,0.0407,0.83,120.994
What a Fool Believes,The Doobie Brothers,223866,0.758,0.378,0.284,0.0,0.049,-15.308,0.0449,0.985,120.736
Regulate,Warren G,250868,0.832,0.588,0.4,0.0,0.104,-10.88,0.248,0.716,95.309
Novocaine For The Soul,Eels,188693,0.409,0.717,0.000578,0.0632,0.0827,-7.75,0.0395,0.311,169.212
Love and Happiness,Al Green,307062,0.822,0.457,0.214,0.000397,0.0766,-10.937,0.235,0.73,99.16
Myth,Beach House,258653,0.445,0.705,0.0325,0.0917,0.0828,-6.257,0.0292,0.409,141.953
Waterloo,ABBA,168960,0.445,0.949,0.395,8.18e-06,0.0902,-4.682,0.0471,0.653,147.604
"Harder, Better, Faster, Stronger",Daft Punk,224693,0.817,0.716,0.0427,0.00263,0.358,-8.898,0.144,0.692,123.474
Weak Become Heroes,The Streets,332560,0.467,0.58,0.0735,0.0,0.091,-12.792,0.272,0.465,130.091
Oh Happy Day,The Edwin Hawkins Singers,308600,0.321,0.462,0.0961,0.0,0.102,-10.711,0.0346,0.457,116.782
Down by the River - 2009 Remaster,Neil Young,558186,0.465,0.466,0.0836,0.0427,0.0911,-8.098,0.0333,0.555,164.315
Frankie Teardrop,Suicide,626373,0.327,0.743,0.0238,0.85,0.118,-15.712,0.0827,0.0388,168.584
Two Tribes,Frankie Goes To Hollywood,208133,0.54,0.621,0.00292,0.00287,0.367,-13.165,0.0369,0.195,130.202
November Rain,Guns N' Roses,537506,0.197,0.629,0.0165,0.279,0.125,-9.291,0.03,0.221,79.495
"So Long, Marianne",Leonard Cohen,337706,0.551,0.296,0.788,3.34e-05,0.128,-15.398,0.0284,0.215,95.014
Black Dog,Led Zeppelin,294000,0.432,0.848,0.274,0.0344,0.233,-8.095,0.0878,0.743,81.201
All Shook Up,Elvis Presley,118546,0.691,0.496,0.875,1.35e-05,0.197,-11.292,0.116,0.958,75.21
Step,Vampire Weekend,251626,0.624,0.724,0.591,7.79e-06,0.101,-7.113,0.101,0.624,78.008
In-A-Gadda-Da-Vida - 2006 Remaster Full-Length,Iron Butterfly,1024133,0.548,0.452,0.00577,0.375,0.192,-11.612,0.0343,0.5,120.127
Someone Like You,Adele,285240,0.554,0.321,0.893,0.0,0.0996,-8.251,0.028,0.288,135.047
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,304606,0.652,0.795,0.156,0.0,0.123,-5.192,0.174,0.788,135.018
Dry The Rain,The Beta Band,366826,0.593,0.626,0.0931,0.166,0.218,-11.287,0.0317,0.753,150.483
Madame George - 1999 Remaster,Van Morrison,585173,0.338,0.167,0.47,0.00137,0.0547,-16.498,0.0311,0.264,134.143
Bonnie And Clyde,Brigitte Bardot,257533,0.365,0.708,0.00489,0.000362,0.0953,-9.655,0.0571,0.489,97.088
Singin' The Blues,Bix Beiderbecke And Frankie Trumbauer,182226,0.652,0.14,0.995,0.91,0.0691,-15.658,0.0743,0.82,135.995
The Night,The Moody Blues,446400,0.23,0.416,0.203,0.00298,0.109,-8.09,0.033,0.171,106.978
Setting Sun,The Chemical Brothers,329000,0.445,0.995,0.000829,0.12,0.35,-1.155,0.222,0.229,135.065
My Boy Lollipop,Millie Small,120053,0.672,0.696,0.343,8.18e-05,0.101,-6.167,0.0442,0.97,132.089
Without You - Remastered,Harry Nilsson,203000,0.453,0.213,0.554,3.68e-06,0.0506,-13.656,0.0279,0.0955,64.177
Lonely Woman,Ornette Coleman,302199,0.474,0.376,0.315,0.000748,0.147,-10.482,0.0283,0.253,81.001
Sorry,Justin Bieber,200786,0.654,0.76,0.0797,0.0,0.299,-3.669,0.045,0.41,99.945
Rise Above,Black Flag,146560,0.374,0.816,0.119,8.01e-06,0.0808,-13.88,0.0578,0.138,104.56
I'm On Fire,Bruce Springsteen,154266,0.615,0.267,0.658,0.0859,0.0679,-22.618,0.0382,0.842,88.409
Back To Black,Amy Winehouse,240440,0.49,0.725,0.123,2.68e-05,0.0983,-3.304,0.0392,0.335,123.28
Grace,Jeff Buckley,322146,0.551,0.863,0.112,2.82e-05,0.248,-5.551,0.0409,0.22,127.949
Clandestino,Manu Chao,149173,0.69,0.58,0.478,0.0,0.373,-6.474,0.0838,0.771,84.985
I Know You Got Soul,Eric B. & Rakim,284506,0.905,0.732,0.0302,8.74e-05,0.358,-11.774,0.26,0.75,103.938
Smalltown Boy,Bronski Beat,303306,0.679,0.564,0.529,0.0709,0.275,-11.247,0.0267,0.926,134.586
Moonlight Serenade,Glenn Miller,201400,0.343,0.157,0.958,0.113,0.178,-11.116,0.0295,0.0673,78.328
The Eton Rifles,The Jam,238373,0.379,0.88,0.000441,0.0856,0.129,-7.52,0.0331,0.878,157.291
Shake Some Action,Flamin' Groovies,273306,0.495,0.632,0.0254,0.0332,0.237,-12.941,0.0404,0.376,137.105
Smile,Lily Allen,196893,0.632,0.639,0.00143,0.0,0.221,-5.938,0.0259,0.733,95.506
Surfin' Bird,The Trashmen,143293,0.593,0.968,0.000796,0.000498,0.341,-9.393,0.0541,0.847,99.188
Our Lips Are Sealed - 2011 Remaster,The Go-Go's,168546,0.569,0.937,0.0767,0.0,0.0523,-4.477,0.0574,0.922,131.205
"Tonight, Tonight",The Smashing Pumpkins,254706,0.277,0.644,3.38e-05,0.776,0.208,-10.085,0.0338,0.177,148.868
Werewolves of London - 2007 Remaster,Warren Zevon,209466,0.75,0.62,0.0932,0.0135,0.0612,-8.72,0.0257,0.93,103.538
Devil with a Blue Dress On / Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,210765,0.613,0.832,0.246,0.0,0.185,-10.599,0.0598,0.733,79.735
The Wind Cries Mary,Jimi Hendrix,200733,0.499,0.495,0.348,0.0286,0.2,-10.508,0.0501,0.339,80.086
Neighborhood #1 (Tunnels),Arcade Fire,288333,0.285,0.732,0.078,0.0138,0.327,-5.544,0.0323,0.237,123.38
Kool Thing,Sonic Youth,246400,0.224,0.94,0.00367,0.0806,0.183,-5.831,0.063,0.214,155.285
Motorcycle Emptiness - Remastered,Manic Street Preachers,368960,0.529,0.784,6.61e-06,0.142,0.135,-5.288,0.0283,0.253,112.461
We Can Work It Out - Remastered,The Beatles,135440,0.367,0.587,0.108,0.0,0.135,-10.02,0.0275,0.745,106.182
Satellite of Love,Lou Reed,219906,0.478,0.448,0.442,2.34e-05,0.317,-13.088,0.0306,0.61,121.932
Just Can't Get Enough - 2006 Digital Remaster,Depeche Mode,224800,0.759,0.772,0.42,0.0423,0.144,-9.374,0.0345,0.904,128.177
Desperado,Eagles,214866,0.313,0.235,0.931,0.00012,0.224,-12.316,0.0282,0.18,56.53
Day Tripper - Remastered,The Beatles,169146,0.642,0.72,0.0897,0.0,0.28,-10.595,0.029,0.704,137.724
The greatest,Lana Del Rey,300360,0.443,0.226,0.939,0.0201,0.14,-12.507,0.0359,0.196,79.142
Think,Aretha Franklin,138466,0.697,0.814,0.109,1.29e-05,0.244,-5.594,0.0384,0.934,110.092
Pacific 202,808 State,336400,0.558,0.894,0.00816,0.371,0.118,-7.76,0.0604,0.45,128.274
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,237506,0.474,0.442,0.000146,0.000212,0.213,-15.049,0.0423,0.773,118.362
"Holland, 1945",Neutral Milk Hotel,192546,0.24,0.873,0.0458,0.000152,0.624,-4.296,0.0566,0.395,99.779
Full of Fire,The Knife,556506,0.62,0.878,0.00517,0.46,0.0429,-5.814,0.0454,0.559,143.001
A Design for Life,Manic Street Preachers,260826,0.259,0.818,0.000636,5.77e-06,0.0588,-4.488,0.0461,0.388,123.328
Tell It Like It Is,Aaron Neville,165960,0.61,0.376,0.449,2.18e-06,0.198,-9.194,0.0287,0.565,93.706
Get Back - Remastered 2015,The Beatles,191773,0.703,0.636,0.186,0.0256,0.0959,-7.579,0.0376,0.218,122.921
Protection,Massive Attack,471560,0.577,0.421,0.0162,0.124,0.0722,-13.142,0.0489,0.737,168.009
Stagger Lee,Lloyd Price,142933,0.346,0.597,0.349,0.0,0.0659,-9.48,0.0343,0.665,142.148
Con Altura,ROSALÍA,161626,0.882,0.689,0.39,0.00325,0.0501,-4.027,0.124,0.746,97.963
"Radio, Radio",Elvis Costello & The Attractions,186213,0.595,0.869,0.138,2.78e-06,0.278,-4.812,0.0767,0.876,146.75
See See Rider Blues - Remastered,Ma Rainey,199120,0.457,0.118,0.996,0.877,0.247,-16.838,0.0472,0.312,69.72
Digital Witness,St. Vincent,202000,0.782,0.444,0.00904,0.0101,0.0887,-7.081,0.0489,0.882,104.975
All These Things That I've Done,The Killers,301573,0.554,0.73,0.00158,1.85e-05,0.117,-6.236,0.0418,0.204,118.24
Rock Your Baby,George McCrae,199293,0.609,0.667,0.266,0.125,0.143,-13.409,0.0329,0.95,104.157
Sentimental Journey,Doris Day,192586,0.484,0.0426,0.912,0.00299,0.103,-16.252,0.0288,0.247,80.506
Stormy Weather,Lena Horne,199760,0.458,0.163,0.975,1.67e-05,0.0992,-11.185,0.0368,0.375,125.189
Station to Station,David Bowie,614426,0.464,0.78,0.18,0.000669,0.0689,-11.692,0.0894,0.591,121.606
Honky Tonk Pt.1,Bill Doggett,188333,0.628,0.487,0.568,0.68,0.113,-11.748,0.029,0.709,104.406
The Wanderer,Dion,162795,0.5,0.716,0.905,0.0,0.238,-7.411,0.0543,0.858,115.052
King Of The Road,Roger Miller,145293,0.699,0.351,0.689,0.0,0.112,-10.483,0.0535,0.553,119.594
Modern Love - 1999 Remaster,David Bowie,288466,0.315,0.889,0.000376,0.00241,0.133,-8.192,0.041,0.961,181.329
Cissy Strut,The Meters,186853,0.507,0.763,0.172,0.886,0.324,-12.732,0.0945,0.708,176.193
Mr. Tambourine Man,Bob Dylan,330533,0.39,0.31,0.794,0.0,0.379,-14.545,0.0676,0.584,177.515
Voodoo Ray,A Guy Called Gerald,267106,0.683,0.789,0.03,0.0105,0.0724,-9.034,0.0602,0.657,119.504
I Want to Take You Higher,Sly & The Family Stone,322200,0.611,0.839,0.118,0.733,0.203,-10.13,0.0531,0.525,102.799
Bennie And The Jets - Remastered 2014,Elton John,322548,0.669,0.671,0.249,1.18e-05,0.521,-7.996,0.0524,0.739,132.588
Mr. Blue Sky,Electric Light Orchestra,303373,0.388,0.338,0.652,3.72e-06,0.248,-10.054,0.0328,0.477,177.784
Love Shack,The B-52's,322906,0.723,0.725,0.0407,0.0,0.827,-9.066,0.0509,0.866,133.961
All Of The Lights,Kanye West,299613,0.546,0.796,0.0909,2.73e-05,0.19,-3.263,0.0639,0.254,142.123
Feel Good Hit Of The Summer,Queens of the Stone Age,163266,0.326,0.929,0.0114,0.000979,0.198,-5.754,0.174,0.521,164.984
The Funeral,Band of Horses,321146,0.316,0.769,0.0142,0.0,0.0928,-5.283,0.0422,0.127,122.507
The Wire,HAIM,245293,0.547,0.635,0.0127,5.01e-06,0.0585,-5.569,0.137,0.525,113.678
"Shook Ones, Pt. II",Mobb Deep,325506,0.763,0.786,0.0146,0.0114,0.0817,-6.472,0.229,0.504,93.857
Tennessee,Arrested Development,272706,0.822,0.661,0.0241,3.95e-06,0.315,-10.234,0.164,0.67,99.883
XO Tour Llif3,Lil Uzi Vert,182706,0.732,0.75,0.00264,0.0,0.109,-6.366,0.231,0.401,155.096
Money Honey (with Clyde McPhatter) - Single Version,The Drifters,178240,0.708,0.569,0.811,0.0,0.157,-5.212,0.0768,0.772,125.067
Town Called Malice,The Jam,172866,0.534,0.943,0.000855,0.0264,0.0697,-5.898,0.0845,0.823,101.754
Friday I'm In Love,The Cure,215160,0.526,0.763,0.00126,6.75e-05,0.359,-12.663,0.0341,0.514,136.205
We Gotta Get Out Of This Place - UK Single Version,The Animals,194600,0.534,0.61,0.432,2.77e-06,0.0988,-5.276,0.0343,0.45,124.05
Outdoor Miner - 2006 Remastered Version,Wire,104506,0.568,0.636,0.431,3.02e-06,0.492,-8.862,0.0297,0.71,124.37
Need You Tonight,INXS,181106,0.795,0.63,0.0419,0.575,0.0894,-7.217,0.0841,0.785,108.701
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,345866,0.742,0.589,0.0839,0.000131,0.0867,-13.788,0.0381,0.927,105.791
All Too Well,Taylor Swift,329160,0.602,0.609,0.0382,0.0002,0.128,-7.803,0.0243,0.337,93.06
Hypnotize - 2014 Remaster,The Notorious B.I.G.,229826,0.901,0.697,0.145,0.0,0.287,-3.439,0.28,0.67,93.941
Play by Play,Autre Ne Veut,313706,0.35,0.844,0.03,0.0,0.177,-4.161,0.0438,0.104,114.64
Gangsta's Paradise (feat. L.V.),Coolio,241933,0.641,0.63,0.0372,0.0,0.4,-6.393,0.0521,0.415,79.955
Walkin' After Midnight,Patsy Cline,156733,0.741,0.292,0.849,0.0,0.124,-9.322,0.0321,0.818,90.185
Pale Blue Eyes,The Velvet Underground,341466,0.483,0.119,0.914,0.000224,0.105,-17.748,0.0398,0.363,164.322
Being Boiled - Fast Version / 2003 Digital Remaster,The Human League,234040,0.864,0.755,0.338,0.0483,0.0595,-6.827,0.101,0.327,98.815
"Can You Feel It - 12"" Version",Mr. Fingers,345330,0.703,0.485,0.139,0.902,0.109,-12.849,0.0526,0.699,115.878
Fuck And Run,Liz Phair,187933,0.773,0.647,0.735,0.0665,0.0887,-7.974,0.0338,0.943,136.183
Respect Yourself,The Staple Singers,211680,0.828,0.669,0.16,0.00333,0.0756,-8.637,0.0254,0.926,109.964
You've Got a Friend,Carole King,308773,0.475,0.263,0.882,2.54e-05,0.127,-10.731,0.0336,0.461,168.243
Up On Cripple Creek - Remastered 2000,The Band,274893,0.72,0.716,0.226,0.00335,0.0932,-8.773,0.0723,0.953,144.376
Material Girl,Madonna,240706,0.775,0.616,0.246,6.77e-06,0.0511,-12.676,0.0317,0.98,136.63
For Your Precious Love,Jerry Butler,164559,0.319,0.151,0.879,5.84e-06,0.108,-15.17,0.0297,0.224,82.831
Can't Buy Me Love - Remastered,The Beatles,131866,0.483,0.677,0.283,0.0,0.321,-5.91,0.0593,0.842,170.72
Rock And Roll Music - 1958 Single Version,Chuck Berry,151506,0.501,0.77,0.493,0.000463,0.0602,-6.821,0.0452,0.882,165.275
The Barrel,Aldous Harding,299440,0.732,0.408,0.747,0.000229,0.069,-8.475,0.036,0.663,87.016
Season of the Witch,Donovan,293933,0.516,0.513,0.159,0.00957,0.0612,-10.762,0.0288,0.694,99.735
Nelson Mandela,The Specials,249733,0.635,0.672,0.0433,0.00855,0.163,-10.911,0.0555,0.773,127.077
The Train Kept A-Rollin',Johnny Burnette,137973,0.476,0.655,0.41,0.0,0.333,-12.266,0.0573,0.953,166.674
Pretty in Pink - Remastered Album Version,The Psychedelic Furs,238106,0.386,0.916,0.105,0.00991,0.325,-5.955,0.0741,0.775,135.642
A Message to You Rudy - 2002 Remastered Version,The Specials,172600,0.906,0.45,0.149,0.000232,0.168,-8.003,0.0627,0.969,103.476
Inspector Norse,Todd Terje,400751,0.912,0.781,0.074,0.762,0.348,-7.018,0.0444,0.89,119.978
007 (Shanty Town),Desmond Dekker,161173,0.918,0.45,0.613,0.000126,0.134,-8.971,0.0498,0.92,97.153
(Get Your Kicks On) Route 66 - Remastered,Nat King Cole Trio,183266,0.767,0.195,0.955,0.000247,0.127,-15.542,0.0618,0.55,140.774
Drone Bomb Me,ANOHNI,250977,0.402,0.468,0.179,0.00124,0.137,-8.36,0.0386,0.0631,73.721
Somebody That I Used To Know,Gotye,244884,0.865,0.521,0.548,0.000115,0.0989,-6.932,0.0371,0.748,129.059
I Will Follow,U2,215840,0.365,0.908,0.000304,4.33e-05,0.24,-7.314,0.0712,0.613,155.181
He's So Fine,The Chiffons,110413,0.458,0.473,0.681,0.0,0.759,-8.409,0.0346,0.898,145.708
Birdland,Weather Report,356760,0.589,0.532,0.434,0.00157,0.0794,-12.021,0.0359,0.527,156.868
One Armed Scissor,At The Drive In,260293,0.253,0.931,0.0611,3.1e-05,0.639,-4.189,0.142,0.25,162.374
She Drives Me Crazy,Fine Young Cannibals,215773,0.799,0.687,0.193,0.000188,0.0307,-5.682,0.0431,0.965,108.804
Singin' in the Rain,Gene Kelly,255686,0.41,0.233,0.925,0.00351,0.191,-13.65,0.0372,0.501,136.551
Hot Fun in the Summertime,Sly & The Family Stone,157040,0.656,0.65,0.634,0.0147,0.161,-11.643,0.0574,0.931,146.268
Graceland,Paul Simon,291200,0.735,0.638,0.522,0.00105,0.0875,-11.322,0.0337,0.855,117.962
Hounds Of Love,Kate Bush,183266,0.546,0.748,0.505,0.0,0.16,-13.989,0.0384,0.9,145.582
Chelsea Hotel #2,Leonard Cohen,185840,0.534,0.0646,0.898,0.0204,0.109,-20.263,0.0404,0.274,130.292
The Chain,Fleetwood Mac,271000,0.546,0.529,0.0629,0.000567,0.0383,-13.6,0.0436,0.574,151.727
Bigmouth Strikes Again - 2011 Remaster,The Smiths,193320,0.401,0.901,0.0704,0.0,0.538,-5.011,0.041,0.839,134.799
Summer Of '69,Bryan Adams,216973,0.505,0.71,0.0115,2.58e-06,0.0977,-10.853,0.0371,0.771,138.907
Free Man in Paris,Joni Mitchell,183653,0.61,0.639,0.513,0.0,0.0837,-7.681,0.0353,0.676,81.232
Under The Pressure,The War On Drugs,532306,0.325,0.71,0.307,0.172,0.132,-6.545,0.0295,0.193,134.371
Tighten Up,Archie Bell & The Drells,191013,0.624,0.695,0.289,0.000259,0.144,-6.365,0.185,0.787,122.938
Statesboro Blues,Blind Willie McTell,152853,0.573,0.267,0.973,0.000388,0.106,-9.051,0.0547,0.437,90.522
Criminal,Fiona Apple,341533,0.595,0.804,0.0129,1.97e-05,0.299,-7.911,0.0326,0.586,89.846
Big Pimpin',JAY-Z,283066,0.879,0.81,0.176,0.00386,0.0582,-6.286,0.151,0.929,138.054
In The City,The Jam,137800,0.374,0.817,0.00108,6.63e-05,0.336,-9.133,0.0488,0.918,177.138
Holidays In The Sun,Sex Pistols,203080,0.283,0.971,0.0841,1.84e-06,0.335,-7.219,0.169,0.22,147.811
Heartbeat,Annie,185000,0.691,0.7,0.00457,0.181,0.245,-6.695,0.0274,0.618,128.005
Sweet Emotion,Aerosmith,274133,0.38,0.76,0.00298,0.0294,0.104,-10.961,0.0378,0.491,99.437
Moon River(Vocal Audrey Hepburn),Henry Mancini,125585,0.39,0.0235,0.937,0.00128,0.099,-19.695,0.0345,0.155,133.403
Golden Years - 1999 Remaster,David Bowie,240600,0.671,0.733,0.132,1.07e-05,0.0908,-10.092,0.0356,0.94,108.603
I'm Not Part Of Me,Cloud Nothings,275306,0.385,0.952,0.0577,0.526,0.0767,-4.97,0.0659,0.397,86.844
The Rain (Supa Dupa Fly),Missy Elliott,250933,0.817,0.58,0.123,0.00939,0.345,-9.852,0.176,0.732,159.945
Pull Up To The Bumper,Grace Jones,281533,0.843,0.796,0.174,0.0156,0.0883,-11.002,0.0843,0.824,108.701
Geno - 2000 Remaster,Dexys Midnight Runners,207226,0.481,0.6,0.688,0.00633,0.963,-8.722,0.0801,0.818,124.637
Lean on Me - Single Version,Bill Withers,257240,0.617,0.239,0.824,1.72e-05,0.147,-11.219,0.0591,0.426,75.114
Are You That Somebody?,Aaliyah,265639,0.852,0.65,0.166,0.0195,0.101,-7.212,0.161,0.84,137.95
Raspberry Beret,Prince,215173,0.761,0.67,0.21,0.000426,0.0685,-12.759,0.0438,0.91,120.752
Cinnamon Girl - 2009 Remaster,Neil Young,180360,0.635,0.831,0.0239,0.00091,0.106,-5.278,0.0296,0.735,104.349
Rivers Of Babylon,The Melodians,255266,0.746,0.458,0.568,0.00111,0.108,-10.538,0.0392,0.857,106.599
Willin',Little Feat,174573,0.541,0.662,0.175,0.0,0.0803,-7.196,0.0382,0.742,144.046
Django,The Modern Jazz Quartet,423160,0.602,0.241,0.857,0.00456,0.153,-13.893,0.0421,0.187,110.299
Beast Of Burden - Remastered,The Rolling Stones,265173,0.786,0.87,0.413,0.000494,0.0389,-3.875,0.0316,0.864,100.66
"There, There",Radiohead,323600,0.614,0.677,0.0193,0.518,0.108,-8.317,0.0323,0.717,126.477
New York,St. Vincent,154960,0.373,0.449,0.892,1.26e-05,0.175,-11.646,0.144,0.327,137.866
With a Little Help from My Friends,Joe Cocker,302253,0.365,0.47,0.352,3.85e-06,0.0983,-10.295,0.066,0.321,71.578
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,215760,0.609,0.759,0.028,0.0,0.183,-4.862,0.0276,0.774,114.045
Ghost Rider,Suicide,154400,0.258,0.548,0.0696,0.685,0.159,-9.927,0.0721,0.486,191.516
Where Are We Now?,David Bowie,249213,0.547,0.463,0.0463,0.0199,0.123,-8.76,0.0233,0.43,79.972
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,258466,0.404,0.72,5.59e-05,0.836,0.0466,-9.18,0.0623,0.475,121.864
Shutdown,Skepta,188938,0.656,0.746,0.126,0.0,0.508,-4.716,0.314,0.824,104.044
Bonkers - Radio Edit,Dizzee Rascal,180906,0.624,0.984,0.00658,0.0,0.155,-2.281,0.209,0.69,126.104
American Woman,The Guess Who,307493,0.55,0.726,0.146,0.00608,0.428,-8.51,0.0516,0.37,92.697
This Is Hardcore - Original Version,Pulp,383733,0.336,0.511,0.00532,0.00062,0.159,-7.839,0.0267,0.112,153.954
